Date and Time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2019-01-01 00:00,4,71,-0.7,0,1019.6,866.1,0,0.23,6.7,164,11.2
2019-01-01 01:00,5.4,65,-0.7,0,1020.5,867.5,0,0.32,3.8,163,14.8
2019-01-01 02:00,6.4,64,0,0,1021.4,868.8,0,0.35,4.5,166,14
2019-01-01 03:00,10,58,2.2,0,1022.2,871.2,0,0.51,5.7,162,16.6
2019-01-01 04:00,12.9,40,-0.4,0,1022.4,872.8,0,0.9,2.6,106,15.5
2019-01-01 05:00,14.2,38,0.1,0,1022.1,873.2,0,1.01,1.1,18,13
2019-01-01 06:00,15.2,37,0.7,0,1021.2,872.8,0,1.08,3.4,342,15.1
2019-01-01 07:00,15.6,39,1.6,0,1020,872,0,1.09,6,335,20.5
2019-01-01 08:00,15.7,40,2.1,0,1018.8,871,0,1.07,6.6,331,22
2019-01-01 09:00,15.3,42,2.6,0,1018.4,870.5,0,1.01,6.2,324,22
2019-01-01 10:00,14.6,46,3.1,0,1018.7,870.4,1,0.89,6.4,322,19.8
2019-01-01 11:00,12.8,70,7.4,0,1019,869.8,0,0.45,3.5,294,18
2019-01-01 12:00,11.3,57,3,0,1019.1,869.2,0,0.58,5.1,219,9.4
2019-01-01 13:00,10.8,57,2.6,0,1019.9,869.6,0,0.56,3,194,11.5
2019-01-01 14:00,11.2,50,1.2,0,1020.8,870.6,0,0.66,2.3,198,6.5
2019-01-01 15:00,10.7,52,1.4,0,1021.4,870.9,0,0.61,1.1,180,5.4
2019-01-01 16:00,8.5,65,2.2,0,1021.7,870.1,0,0.39,2.5,172,6.1
2019-01-01 17:00,6.9,73,2.4,0,1021.9,869.5,0,0.27,4,175,9.4
2019-01-01 18:00,6.6,74,2.4,0,1021.9,869.3,0,0.25,4,170,10.1
2019-01-01 19:00,6.3,75,2.2,0,1021.5,868.8,0,0.24,3.8,163,10.4
2019-01-01 20:00,6.2,75,2.1,0,1021.1,868.4,0,0.24,4.1,165,11.5
2019-01-01 21:00,6.2,73,1.8,0,1020.1,867.6,0,0.26,3.8,163,13
2019-01-01 22:00,5.9,73,1.4,0,1019.6,867,0,0.25,4.2,160,14.8
2019-01-01 23:00,5.1,75,1.1,0,1019.3,866.4,0,0.22,4.6,162,15.8
2019-01-02 00:00,3.6,85,1.3,0,1019.9,866.1,0,0.12,5.5,169,17.6
2019-01-02 01:00,3.4,82,0.6,0,1020.5,866.5,0,0.14,5.2,168,18
2019-01-02 02:00,4.6,73,0.2,0,1021.7,868.1,0,0.23,5.4,172,17.3
